Pushbacks skull(Flying Enemy)
(4, 7 , 31 , 26)
(49 , 6 , 29 , 27)
(90 , 8 , 28, 27)
(90 , 8 , 28 , 28)
(131 , 6 , 30 , 28)
(6 , 49 , 27 , 28)
(48 , 49 , 27 , 28)
(89 , 49 , 31 ,27)
(133 , 49 , 28 , 27)
(49 , 90 , 28 , 29)

Pushback c(Walking Enemy)
(141 , 5 , 31 , 27)
(208 , 5 , 31 , 27)
(143 , 37 , 33 , 27)
(210 , 37 , 28 , 27)
(78 , 70 , 35 , 26)
(148 , 68 , 23 , 28)
(211 , 68 , 25 , 28)

Pushback(Walking Enemy Dying)
(15 , 4 , 32 , 28)
(10 , 34 , 41 , 30)
(9 , 68 , 49, 29)
(5 , 97 , 51 , 31)
